iter	TotalF1	MultiClass
0	0.7705819587	1.062637691
1	0.7238122483	0.9313712228
2	0.7453170491	0.8617543042
3	0.7336007054	0.7996729816
4	0.7666550401	0.7248905768
5	0.780778399	0.6609651103
6	0.8067014952	0.6260656895
7	0.7963395931	0.5598082399
8	0.8056307912	0.5195822589
9	0.835480284	0.4925829458
10	0.8266505938	0.4677215137
11	0.835480284	0.4451971371
12	0.8552278192	0.4165759455
13	0.8636782264	0.3929458923
14	0.8718021649	0.3589014803
15	0.9009211553	0.331842777
16	0.910786293	0.3044961151
17	0.910786293	0.2819200444
18	0.9380483759	0.2533837081
19	0.9562567721	0.233184191
20	0.9657597954	0.2088908267
21	0.9834399243	0.1939489106
22	0.9834399243	0.1826080993
23	0.9834399243	0.1702124321
24	0.9834399243	0.1579867556
25	0.9834399243	0.1487989259
26	0.9834399243	0.1383704335
27	0.9917409181	0.1281620453
28	0.9917409181	0.1212644435
29	0.9917409181	0.1154972172
30	0.9917409181	0.1098654972
31	0.9917409181	0.1042099293
32	0.9917409181	0.09691994902
33	0.9917409181	0.09403921988
34	0.9917409181	0.08941042246
35	1	0.08467842965
36	1	0.0814900011
37	1	0.07614133635
38	1	0.07291556447
39	1	0.06947413636
40	1	0.06661192006
41	1	0.06404530049
42	1	0.06160328175
43	1	0.05992064007
44	1	0.05669885865
45	1	0.05391064362
46	1	0.05266273506
47	1	0.0508135479
48	1	0.04894408007
49	1	0.04794731512
50	1	0.04666504927
51	1	0.04564768045
52	1	0.04416368661
53	1	0.04321896246
54	1	0.04230099938
55	1	0.04103127152
56	1	0.03979006182
57	1	0.03800117123
58	1	0.03734751921
59	1	0.03620118881
60	1	0.03488354548
61	1	0.03423817066
62	1	0.03325656718
63	1	0.03260035815
64	1	0.03207003445
65	1	0.03139739155
66	1	0.0307350598
67	1	0.03010387589
68	1	0.02908619853
69	1	0.02848370692
70	1	0.02784546607
71	1	0.0271931638
72	1	0.02696546871
73	1	0.02641422461
74	1	0.02599911223
75	1	0.0254372203
76	1	0.02469819019
77	1	0.0241764831
78	1	0.02381253175
79	1	0.02349546636
80	1	0.02292918091
81	1	0.02226970188
82	1	0.02191725064
83	1	0.02158899377
84	1	0.0211271806
85	1	0.02081150446
86	1	0.02044750816
87	1	0.02001918627
88	1	0.01953660758
89	1	0.01904292535
90	1	0.01875069258
91	1	0.01842327923
92	1	0.01811790852
93	1	0.0178684333
94	1	0.0176545156
95	1	0.01730500436
96	1	0.0171523529
97	1	0.01678455351
98	1	0.01656397572
99	1	0.01639529064
100	1	0.01613919399
101	1	0.01589400602
102	1	0.01565014953
103	1	0.01535424556
104	1	0.01512140407
105	1	0.01492863132
106	1	0.01481810501
107	1	0.0146652835
108	1	0.01452111068
109	1	0.01439294949
110	1	0.0142542463
111	1	0.01406992467
112	1	0.01392858805
113	1	0.01375879098
114	1	0.01360686789
115	1	0.01349374578
116	1	0.01329284746
117	1	0.01318410322
118	1	0.01297849385
119	1	0.012761453
120	1	0.01259140423
121	1	0.01244817648
122	1	0.01234931922
123	1	0.01225178037
124	1	0.01214247726
125	1	0.01201012406
126	1	0.01192980875
127	1	0.01170281197
128	1	0.01161983783
129	1	0.0115700467
130	1	0.01140542474
131	1	0.01129021176
132	1	0.01115582982
133	1	0.01103677486
134	1	0.01093870752
135	1	0.01078769912
136	1	0.01069381466
137	1	0.01056412718
138	1	0.01049322782
139	1	0.01037404285
140	1	0.01020949375
141	1	0.01012391566
142	1	0.01002973023
143	1	0.009960774675
144	1	0.009876107752
145	1	0.00977924708
146	1	0.009699834049
147	1	0.009617776801
148	1	0.009513455618
149	1	0.00942021245
150	1	0.009310230224
151	1	0.009217307776
152	1	0.009122873189
153	1	0.009049709269
154	1	0.008949811529
155	1	0.008890991593
156	1	0.008834227221
157	1	0.008725694912
158	1	0.008646478885
159	1	0.00859430597
160	1	0.008527726022
161	1	0.008480435139
162	1	0.008422526276
163	1	0.008385609382
164	1	0.008314988418
165	1	0.00825957511
166	1	0.008211324584
167	1	0.008153726813
168	1	0.008115646029
169	1	0.008042832343
170	1	0.007986059052
171	1	0.007919727386
172	1	0.007850568944
173	1	0.007800918451
174	1	0.007747032277
175	1	0.007699344471
176	1	0.007657866676
177	1	0.007615440096
178	1	0.007564041304
179	1	0.007516087934
180	1	0.007455497669
181	1	0.007420699968
182	1	0.007381367325
183	1	0.007334353766
184	1	0.007284674606
185	1	0.007204800738
186	1	0.007146300267
187	1	0.007090703155
188	1	0.007044670617
189	1	0.006989810295
190	1	0.006955453797
191	1	0.006904371342
192	1	0.006871221789
193	1	0.006828573709
194	1	0.006783371312
195	1	0.006742652057
196	1	0.006697164662
197	1	0.006660354317
198	1	0.006595641673
199	1	0.006550987051
200	1	0.006506938382
201	1	0.006461222689
202	1	0.006437104436
203	1	0.006406041094
204	1	0.006354266362
205	1	0.006319563975
206	1	0.006289199924
207	1	0.006267214659
208	1	0.006242916005
209	1	0.006199656631
210	1	0.006150193231
211	1	0.006120814253
212	1	0.006082099057
213	1	0.006045477849
214	1	0.006006855994
215	1	0.00598796208
216	1	0.005958382517
217	1	0.0059149057
218	1	0.005881841357
219	1	0.005862740563
220	1	0.005817394229
221	1	0.005790015355
222	1	0.005767951491
223	1	0.0057235865
224	1	0.005704330246
225	1	0.005671317427
226	1	0.005639379133
227	1	0.005611214751
228	1	0.00557479305
229	1	0.005550988173
230	1	0.005508979554
231	1	0.005484876589
232	1	0.00545351391
233	1	0.00541675909
234	1	0.005375860154
235	1	0.005355668863
236	1	0.005319155169
237	1	0.00528664803
238	1	0.005258821413
239	1	0.005239484275
240	1	0.005209214807
241	1	0.005181494858
242	1	0.005152051607
243	1	0.005129553558
244	1	0.005109191348
245	1	0.005091484828
246	1	0.005076294638
247	1	0.00506159196
248	1	0.005043668015
249	1	0.005006873358
250	1	0.004980587556
251	1	0.004958130172
252	1	0.004932688495
253	1	0.004907304865
254	1	0.004882162625
255	1	0.004866789708
256	1	0.004851918133
257	1	0.004827178646
258	1	0.004804668202
259	1	0.004787521068
260	1	0.004769413467
261	1	0.00475367397
262	1	0.00473575123
263	1	0.004712839152
264	1	0.004683691742
265	1	0.004664255705
266	1	0.004644365543
267	1	0.00462711143
268	1	0.00460440985
269	1	0.004583136705
270	1	0.004565969537
271	1	0.004546762505
272	1	0.004530062327
273	1	0.004513664735
274	1	0.00450194869
275	1	0.004484110738
276	1	0.004468451686
277	1	0.004459551282
278	1	0.004433424017
279	1	0.004410923737
280	1	0.004393240073
281	1	0.004365336882
282	1	0.004345195115
283	1	0.004319947559
284	1	0.004301990878
285	1	0.004289579714
286	1	0.004272110792
287	1	0.004247825857
288	1	0.004222128972
289	1	0.004208682839
290	1	0.004191025044
291	1	0.004175015967
292	1	0.004150500113
293	1	0.00413547633
294	1	0.004116743661
295	1	0.004105340606
296	1	0.004094625245
297	1	0.004073570125
298	1	0.004061465946
299	1	0.004045846669
300	1	0.004028282069
301	1	0.004017581674
302	1	0.004004354776
303	1	0.003991498743
304	1	0.003974698706
305	1	0.003962964784
306	1	0.00394764088
307	1	0.003934593178
308	1	0.00391883074
309	1	0.003908662474
310	1	0.00389747058
311	1	0.003883497209
312	1	0.003866297502
313	1	0.003858397021
314	1	0.003847413973
315	1	0.003832328067
316	1	0.003822699866
317	1	0.003812502088
318	1	0.003806151385
319	1	0.003794149993
320	1	0.003778009684
321	1	0.00376101909
322	1	0.003747671643
323	1	0.003736353065
324	1	0.003721714481
325	1	0.003705165194
326	1	0.003692996274
327	1	0.003682476258
328	1	0.00367517004
329	1	0.003664316431
330	1	0.003652471419
331	1	0.003633223997
332	1	0.003625024237
333	1	0.003609684644
334	1	0.003601153323
335	1	0.003586932929
336	1	0.00357151578
337	1	0.003561570106
338	1	0.003545628103
339	1	0.003536708803
340	1	0.003525949515
341	1	0.003515361665
342	1	0.003509480478
343	1	0.00349724896
344	1	0.00348569583
345	1	0.003468499176
346	1	0.003456020379
347	1	0.003448974595
348	1	0.00344107895
349	1	0.003430121077
350	1	0.003420659093
351	1	0.003405681881
352	1	0.003395091109
353	1	0.003383218959
354	1	0.00337056626
355	1	0.003352190339
356	1	0.003341166847
357	1	0.003332873278
358	1	0.003320623423
359	1	0.003312536052
360	1	0.003305045276
361	1	0.003298152662
362	1	0.003287484487
363	1	0.003276010086
364	1	0.003265074432
365	1	0.003254470612
366	1	0.0032431373
367	1	0.003233131996
368	1	0.00321866511
369	1	0.003209125432
370	1	0.00319611763
371	1	0.003190580327
372	1	0.003184339611
